datetime,open,high,low,close,volume
1510358400000.0,20809.69,26000.0,20809.69,26000.0,0.02536097
1510401600000.0,24880.0,24880.0,20558.0,20558.0,0.03452096
1510444800000.0,20559.01,20559.01,20559.01,20559.01,0.0008
1510488000000.0,20559.01,20559.01,12010.01,12010.01,0.4
1510574400000.0,19328.28,27999.0,19328.28,19330.0,0.53084383
1510617600000.0,24000.0,24000.0,24000.0,24000.0,0.26075208
1510660800000.0,20500.0,24000.0,20000.0,20000.0,0.2545747
1510747200000.0,23933.9,23993.69,22666.11,22666.11,0.02395354
1510790400000.0,22600.0,22600.0,22600.0,22600.0,0.0099
1510833600000.0,23993.5,25000.0,23993.5,25000.0,0.34403064
1510876800000.0,26000.0,26000.0,24605.49,26000.0,0.02754307
1510920000000.0,26000.0,26000.0,24439.26,26000.0,0.11214603
1511006400000.0,24213.24,24213.24,24213.24,24213.24,0.0042
1511092800000.0,24100.0,25500.0,24100.0,25156.82,0.02771746
1511136000000.0,25500.0,25500.0,24981.56,24981.56,0.022244
1511179200000.0,25500.0,26500.0,25440.87,25919.19,0.4987171
1511222400000.0,26500.0,27250.0,25302.98,25302.98,0.12361305
1511265600000.0,25719.19,27385.55,25719.19,27385.55,0.02218657
1511308800000.0,26968.66,27052.26,26619.19,27052.26,0.07136665
1511352000000.0,26619.19,27304.33,26619.19,27304.33,0.51852216
1511395200000.0,27281.68,29999.0,27113.21,27126.8,0.52433662
1511438400000.0,26719.2,27085.81,26719.2,26719.2,0.20321088
1511481600000.0,26719.19,26719.19,26719.19,26719.19,0.10772543
1511524800000.0,27016.64,27016.64,27016.64,27016.64,0.02957661
1511568000000.0,27147.36,27147.36,27147.36,27147.36,0.0036836
1511611200000.0,28621.95,28775.37,28621.95,28775.37,0.17393993
1511654400000.0,29590.42,29590.42,29590.42,29590.42,0.0050692
1511697600000.0,30000.0,30000.0,29425.74,29425.74,0.2246
1511740800000.0,31894.96,32047.79,31894.96,32047.79,0.16310089
1511784000000.0,31400.0,32100.0,31400.0,32100.0,0.48514922
1511827200000.0,31369.0,32100.0,30209.94,32100.0,0.347361
1511870400000.0,30867.98,32939.48,30592.31,31700.0,0.27796906
1511913600000.0,32500.0,32500.0,32500.0,32500.0,0.0674
1511956800000.0,34035.93,36306.85,30523.0,32400.0,1.4540303
1512000000000.0,32700.0,32700.0,32700.0,32700.0,0.09234557
1512086400000.0,31050.0,39529.19,31050.0,39529.19,0.05692188
1512129600000.0,35087.82,35087.82,31070.0,31070.0,0.17558032
1512172800000.0,33909.46,37050.61,33047.63,37050.61,0.31266
1512216000000.0,36076.39,36438.03,34027.69,34027.69,0.37015037
1512259200000.0,36339.58,39143.26,36339.58,39143.26,0.3
1512302400000.0,36297.0,36297.0,36297.0,36297.0,0.0023
1512388800000.0,37703.48,38245.17,35448.9,35596.8,0.60469528
1512432000000.0,38100.0,38423.64,36324.51,36324.51,0.12947878
1512475200000.0,38500.48,40100.0,36301.0,36301.0,0.16398265
1512518400000.0,36823.81,38000.0,36823.81,37800.0,0.0546
1512561600000.0,38499.07,42089.98,31050.0,42089.98,0.21273562
1512604800000.0,42934.63,299997.0,42934.63,299997.0,0.0264377
1512648000000.0,299997.0,299997.0,50666.37,51552.57,0.06419817
1512691200000.0,55000.0,55000.0,49200.0,49200.0,0.38680169
1512734400000.0,48500.0,48500.0,48500.0,48500.0,0.00221296
1512820800000.0,55999.7,65000.0,42835.92,44818.71,0.17596698
1512907200000.0,47938.98,65000.0,47938.98,65000.0,0.02487913
1512993600000.0,50467.47,60797.17,19010.07,60797.17,0.64722888
1513036800000.0,60797.17,64929.18,55532.94,55978.93,0.53435146
1513080000000.0,58977.87,64999.99,55000.0,55000.0,0.05768713
1513123200000.0,57646.36,64999.99,53000.0,55920.96,0.16787355
1513166400000.0,55996.0,64999.99,51253.65,52267.87,0.32525382
1513209600000.0,52267.0,64652.33,51010.29,51258.91,0.03004163
1513252800000.0,51161.0,64652.33,51161.0,54812.49,0.03798574
1513296000000.0,54807.47,64651.0,54807.47,64651.0,0.06849541
1513339200000.0,55727.97,55727.97,55420.73,55420.73,0.0377
1513382400000.0,58727.17,58727.17,55513.0,56274.77,0.56914875
1513425600000.0,58727.17,58727.17,58727.17,58727.17,0.27964687
1513468800000.0,58137.17,58727.17,58121.19,58727.17,0.01030204
1513512000000.0,58727.17,65000.0,58121.19,65000.0,0.3727
1513598400000.0,59302.57,101000.0,58622.02,101000.0,0.10149818
1513641600000.0,89999.99,89999.99,89999.99,89999.99,0.00044
1513684800000.0,79895.78,79895.78,58780.0,60987.47,0.02667071
1513728000000.0,58780.0,65000.0,55000.0,65000.0,0.03527165
1513771200000.0,55017.27,59757.17,52068.25,53335.95,0.67962754
1513857600000.0,52335.39,58847.37,50615.0,58847.37,1.6036244
1513900800000.0,47990.0,74588.21,45000.0,45000.0,0.44057152
1513944000000.0,50500.0,74588.21,39367.75,41842.56,0.18524584
1514030400000.0,58997.27,58997.27,45900.0,45900.0,0.00972549
1514073600000.0,58997.27,58997.27,58997.27,58997.27,0.00169499
1514203200000.0,47961.0,47961.0,47961.0,47961.0,0.0079
1514246400000.0,56999.0,56999.0,56999.0,56999.0,0.00056299
1514289600000.0,56985.0,56985.0,52500.0,52528.0,0.15240485
1514332800000.0,52528.0,58951.0,52528.0,52528.0,0.01231305
1514376000000.0,58529.5,58529.5,52529.9,58523.5,0.42377118
1514419200000.0,57999.9,57999.9,45476.65,45476.65,1.01541622
1514462400000.0,46444.22,57999.9,43701.0,57979.0,0.11156984
1514505600000.0,52978.89,57979.0,44500.0,44500.0,0.26161603
1514548800000.0,46965.31,48394.57,46398.43,48011.82,0.02170634
1514592000000.0,46151.8,46151.8,41456.33,41456.33,0.08424978
1514635200000.0,40890.59,41033.08,38000.0,38000.0,0.02368844
1514678400000.0,41942.4,41942.4,41942.4,41942.4,0.00238422
1514808000000.0,41953.71,41953.71,41953.71,41953.71,0.0195
1514894400000.0,44351.04,45000.0,44350.26,45000.0,0.2291
1514937600000.0,45000.0,47613.32,45000.0,47505.96,0.39302263
1514980800000.0,49185.7,50038.23,47664.63,49201.1,0.29389265
1515024000000.0,49527.71,49532.88,49301.22,49464.66,0.0283213
1515067200000.0,47705.36,60000.0,45918.74,46933.76,0.56880798
1515110400000.0,47622.2,50334.21,47451.71,50040.94,0.65117052
1515153600000.0,50958.21,55751.32,50958.21,55751.32,0.2097183
1515196800000.0,55664.34,55664.34,52469.97,52496.38,0.34652626
1515240000000.0,51889.0,54243.11,51889.0,54161.86,0.31597813
1515283200000.0,53869.48,53869.48,53601.29,53601.29,0.16462005
1515326400000.0,53610.88,56130.24,53610.88,53944.51,0.25746912
1515369600000.0,51872.4,51957.9,47878.77,47878.77,0.26159364
1515412800000.0,47500.0,49286.56,47500.0,49286.56,0.22857506
1515456000000.0,49361.7,50017.28,49361.7,50017.28,0.0167
1515499200000.0,47500.0,56130.24,46885.0,46885.0,0.47485682
1515542400000.0,46885.0,46885.0,44388.1,44388.1,0.10696813
1515585600000.0,43900.86,47958.16,43709.26,46505.61,0.5288085
1515628800000.0,46116.14,46116.14,41380.0,42625.23,0.1781725
1515672000000.0,42625.23,46192.47,42625.23,43861.38,0.13832831
1515715200000.0,44141.91,44695.91,42555.82,44695.91,0.47532314
1515758400000.0,44958.03,55799.0,44377.78,45293.3,0.57064572
1515801600000.0,45373.38,46601.45,45373.38,46328.01,0.59752808
1515844800000.0,45437.03,46902.78,45047.0,46332.16,0.07880592
1515888000000.0,45047.0,45047.0,45047.0,45047.0,0.017261
1515931200000.0,43691.37,43691.37,42500.0,42500.0,0.0149402
