lowest,volume,amount,avg_price,opening,date,closing,highest,quantity
864.10001,112258.37154998,273,891.85216239,898.99762,2015-03-10,898.98,898.99999,125.87105384
873.50501,113116.39081241,198,896.05839179,898.98,2015-03-11,899.0,899.0,126.23774505
889.00034,126625.6777528,273,930.85626473,898.90006,2015-03-12,940.0,979.9,136.03139663
925.20426,214793.78529598,415,979.77166293,940.0,2015-03-13,959.99999,1059.0,219.2284115
948.01,30871.18392368,98,965.80012612,951.0001,2015-03-14,964.49753,988.0,31.96436104
940.0,24876.17186506,86,961.97558205,954.12704,2015-03-15,955.06397,969.99999,25.85946289
955.06167,92279.52183969,185,961.99946313,969.86919,2015-03-16,958.0,969.94999,95.92471241
957.00001,101997.9092216,235,965.68743412,958.0,2015-03-17,967.99999,969.95,105.62207358
844.99997,151796.31644127,352,914.49409309,957.07476,2015-03-18,860.53464,966.0,165.98938975
851.70707,142030.35728817,234,874.03736667,859.98999,2015-03-19,889.94111,913.33,162.49918219
880.06701,71025.57250175,156,890.64176001,880.06718,2015-03-20,891.1,896.99997,79.74651054
870.0,22937.6102265,92,883.55203179,891.1,2015-03-21,874.61,891.99999,25.96067849
865.00001,20081.36211695,71,874.86087173,875.79488,2015-03-22,878.0,878.0,22.95377787
850.00111,136705.86721324,196,873.36930718,878.0,2015-03-23,875.99948,879.0,156.52698817
780.0,96401.60603321,274,818.38971611,811.11001,2015-03-25,805.00015,839.18564,117.79425393
803.30223,66598.96656153,215,828.80297747,803.30223,2015-03-26,820.36767,842.94984,80.35560727
816.09977,91480.62893533,146,828.18163307,828.25679,2015-03-27,834.39464,834.49418,110.45962055
826.12294,22944.98159841,96,838.47966332,834.49418,2015-03-28,848.82796,849.0,27.36498284
811.0,26903.61311453,95,827.99916595,840.0,2015-03-29,832.0,848.43446,32.4923191
810.0,73497.74789741,262,840.93939254,825.0,2015-03-30,851.0,875.0,87.39957784
825.14,108148.29806983,280,844.93990429,850.94242,2015-03-31,851.95076,865.99999,127.99525448
802.0,116368.85520005,345,829.54899628,843.29797,2015-04-01,822.99001,860.0,140.27966488
822.99,60752.51673984,190,837.86924328,822.99001,2015-04-02,835.00001,850.0,72.50835047
831.01025,34118.2607905,82,840.83781775,833.27668,2015-04-03,833.15,849.99997,40.57650604
832.02022,24158.76117259,49,837.52899464,833.2,2015-04-04,841.75515,849.0,28.84528336
833.40045,21391.76537244,78,838.31256161,840.99959,2015-04-05,844.99999,848.7,25.51764861
832.05,94621.29380659,224,841.99063909,844.99999,2015-04-06,840.14198,849.98999,112.37808286
835.0,114880.28680327,256,843.65230711,836.0,2015-04-07,837.12332,849.51999,136.17018034
796.00001,289918.16121925,472,817.73944424,837.98991,2015-04-08,803.99999,845.0,354.53610959
782.42,109105.99671356,237,801.54866808,803.99,2015-04-09,801.00026,813.99,136.11899197
752.0,108738.90786878,290,785.16440065,801.99999,2015-04-10,755.0,820.0,138.49189772
750.01012,58941.63168801,211,783.93762143,762.80985,2015-04-11,782.35699,800.0,75.18663485
750.01012,26047.27964385,88,771.65924791,773.69499,2015-04-12,783.86851,798.95999,33.75489857
731.0,117848.70395047,316,767.15414036,781.94162,2015-04-13,765.7638,800.0,153.61802505
713.0,103629.70097294,235,726.28038551,740.16185,2015-04-14,715.0,762.5484,142.68552895
706.0,58404.20295229,220,724.94942956,715.00001,2015-04-15,730.94998,754.918,80.56314078
712.02018,108113.77137616,260,734.5302253,722.03424,2015-04-16,738.00001,769.4443,147.18764137
720.0,90204.73266946,242,737.95588507,738.00009,2015-04-17,745.60537,760.0,122.23594187
728.0,49183.95308634,111,735.91120268,745.0,2015-04-18,740.84083,749.43386,66.83408665
729.0,24086.70864246,52,738.74854151,744.83059,2015-04-19,729.0,744.94577,32.60474612
729.0,67875.83652629,199,735.99060418,739.99959,2015-04-20,740.48216,745.0,92.22378131
730.00004,41353.48286739,139,736.74670163,744.64948,2015-04-21,749.98,749.98,56.12985138
741.0,152897.96787723,272,748.90031168,741.20531,2015-04-22,749.99999,764.98,204.16331185
724.08,131585.0335498,252,741.67250051,749.99999,2015-04-23,746.90076,756.99995,177.41662723
707.7,62655.43212507,137,725.41146821,749.61961,2015-04-25,707.7,749.61964,86.37226577
676.57339,19765.50372921,118,699.09179203,717.99855,2015-04-26,704.0,728.45999,28.27311657
670.02203,69548.61074602,212,688.47641868,686.00962,2015-04-27,675.00055,704.0,101.01814508
673.71256,129191.29557277,281,721.74769763,689.99982,2015-04-28,712.01691,750.0,178.9978631
690.01011,109517.82335238,274,708.02878614,712.01666,2015-04-29,714.0,725.26773,154.67990214
706.0,208204.31416251,368,724.16194033,714.0,2015-04-30,747.62554,747.9,287.51071075
735.00001,48458.18850281,90,741.23045992,740.09858,2015-05-01,747.91368,750.0,65.37533348
733.10001,34381.74345076,79,739.8738573,740.99,2015-05-02,736.10708,749.789,46.46973685
735.70002,27589.59220029,70,741.65865838,736.17101,2015-05-03,748.93999,749.0,37.19985183
720.11,122489.38101949,202,745.05334891,735.70002,2015-05-04,750.0,750.0,164.40350372
728.0,96148.97171491,217,746.2361541,750.0,2015-05-05,749.99998,750.0,128.84523376
725.59,83267.67524429,205,743.54432961,749.99998,2015-05-06,726.1234,750.0,111.98750623
712.36347,70608.22592068,186,736.0789535,735.32668,2015-05-07,733.10002,746.4999,95.92479935
725.9999,75000.4824685,213,741.56306607,746.45997,2015-05-08,750.0,750.0,101.13837366
740.11,13281.84869143,62,747.22745814,749.99985,2015-05-09,749.39219,750.0,17.77484024
721.0,26030.55443209,93,736.79114593,749.39219,2015-05-10,749.0,750.0,35.32962438
720.11,100853.2297466,254,743.51116194,722.14575,2015-05-11,737.15014,750.0,135.64454027
737.15,77378.14119085,205,753.21576671,749.89999,2015-05-12,766.99999,779.949,102.73037901
738.27101,114452.57263882,227,750.39280132,755.0,2015-05-13,754.94595,766.99999,152.52354825
726.20001,72123.66034666,216,743.36110007,744.47131,2015-05-14,740.03899,757.8,97.0237215
738.0101,50360.80380343,203,750.1887339,740.01012,2015-05-15,763.15799,764.999,67.13084525
743.25,20619.94553226,87,754.06810246,763.15799,2015-05-16,750.99999,764.989,27.34493803
736.20003,25702.79873808,73,744.77705414,750.94999,2015-05-17,750.86619,752.0,34.51072854
736.33334,91333.26820685,206,750.07450696,750.62892,2015-05-18,740.15001,764.33,121.76559443
738.33501,109282.54018067,245,745.55836138,750.49968,2015-05-19,748.98997,751.0,146.57811627
736.60001,59930.04784109,151,743.38277328,747.76508,2015-05-20,746.99999,750.0,80.61802075
738.02002,103845.6127941,196,752.79179709,743.0,2015-05-21,759.98567,764.32999,137.94732248
745.06774,131463.46235848,244,755.87059869,758.75649,2015-05-22,759.0,761.0,173.92323843
747.0,19711.1103452,82,753.84982759,758.98673,2015-05-23,758.29669,760.5,26.14726385
750.80659,16835.00150534,53,757.39317939,758.2742,2015-05-24,758.0,759.0,22.2275589
747.01,105838.43040049,255,758.65535181,748.1963,2015-05-26,758.15,779.94679,139.50792036
750.0,238857.4578225,467,787.32273054,758.233,2015-05-27,763.20034,1007.66,303.37934948
754.10001,58829.80301456,181,769.23755669,764.0,2015-05-28,769.54195,775.0,76.4780691
751.0,70732.8480284,246,764.48115975,769.54195,2015-05-29,771.99999,774.0,92.52399111
745.0,154629.30910646,186,758.90633519,771.70283,2015-05-30,753.01111,773.99,203.75282421
755.0,17828.52303181,101,765.9924669,755.02786,2015-05-31,761.5,769.0,23.27506314
732.0,115500.36164954,382,752.50649424,761.5,2015-06-01,741.245,768.97797,153.48752806
732.00004,95184.12660309,246,751.6724878,748.65745,2015-06-02,760.99959,767.79999,126.62978644
737.0,85447.98141458,227,748.08451112,760.99992,2015-06-03,751.99972,767.8,114.22236411
735.0,23702.63631134,120,747.45662609,751.99999,2015-06-04,740.32512,755.0,31.7110525
740.0,90051.19842305,284,758.84540549,747.43661,2015-06-05,761.99,768.96,118.66870086
748.01012,24065.89235631,132,760.09615919,761.99,2015-06-06,761.0,768.87998,31.66164184
747.01,10610.12430421,73,752.31831737,759.99999,2015-06-07,753.5,762.0,14.10323803
739.01002,81624.9622942,186,747.52677138,753.5,2015-06-08,743.0,755.0,109.19336326
732.00001,105053.73640809,241,742.2936782,743.0,2015-06-09,753.69911,755.0,141.5258401
738.88001,89018.25689782,229,748.19222723,743.59852,2015-06-10,752.0,754.98999,118.97778894
734.0,110240.4826863,233,743.59724993,743.37419,2015-06-11,742.20736,753.55555,148.25294566
734.0,85227.6993837,281,742.39534695,749.3798,2015-06-12,748.95642,751.0,114.80096115
737.5,6527.82538515,50,746.7278914,741.07349,2015-06-13,748.88,748.99998,8.74190647
737.55101,17696.77521949,73,742.54981561,748.88,2015-06-14,737.61118,748.899,23.83244174
724.99998,132431.2393606,215,739.41949018,739.99999,2015-06-15,743.04352,745.0,179.10163462
732.00022,75737.24281062,253,749.65365434,742.56954,2015-06-16,758.49999,770.0,101.02964532
747.0,160246.29588083,356,769.53362501,758.49999,2015-06-17,789.33848,834.73999,208.23819866
770.0101,97747.91446475,259,790.51787629,788.56517,2015-06-18,798.93699,800.0,123.65047951
786.3101,112250.01285007,306,805.20479391,799.89997,2015-06-19,796.9525,828.88,139.40554465
778.01013,42467.74371871,125,793.46588223,796.9525,2015-06-20,794.99575,800.0,53.52182705
781.5,18978.86531611,67,787.4996008,782.27765,2015-06-21,783.7,795.0,24.10015865
783.7,87871.11559202,210,794.44263772,783.7,2015-06-22,799.89,804.98999,110.60725019
783.0101,81154.79846957,243,791.77259601,799.89,2015-06-23,792.77999,799.99998,102.49760964
782.0,58394.13576491,162,787.03688899,792.11998,2015-06-24,782.1,792.99999,74.19491587
776.0101,58843.68413817,187,793.59984473,779.00001,2015-06-26,795.15723,804.0,74.14780198
786.025,20031.84545938,101,802.14474671,795.07706,2015-06-27,796.84241,809.5,24.97285626
795.0,15325.8764199,67,801.70651916,805.99,2015-06-28,803.0,809.47,19.11656704
799.0,109612.92891305,344,827.7322802,800.00001,2015-06-29,829.99,849.96999,132.42558196
828.212,124188.4763618,311,842.27261406,831.02717,2015-06-30,836.00091,849.2,147.44451415
820.0,117196.70853863,335,840.48549688,845.83763,2015-07-01,839.1001,849.97999,139.43929904
828.99999,93132.5290706,246,839.50929088,844.7,2015-07-02,833.33,848.54,110.93686524
